id,image_id,prediction_list
14,001921.jpg,"[['person', 0.6799255609512329, 113, 107, 344, 507], ['person', 0.6353462934494019, 30, 251, 47, 304], ['person', 0.5512384176254272, 49, 244, 72, 308], ['person', 0.480807900428772, -7, 257, 33, 430], ['person', 0.41104453802108765, 40, 282, 130, 460], ['person', 0.2691006064414978, 3, 242, 26, 303], ['person', 0.2017616480588913, 130, 273, 372, 538], ['person', 0.19664107263088226, 106, 245, 130, 312], ['chair', 0.14566603302955627, 19, 361, 126, 528], ['person', 0.14518064260482788, 85, 248, 111, 301], ['person', 0.10638716071844101, 19, 236, 55, 349]]"
15,009818.jpg,"[['sheep', 0.6137084364891052, 317, 230, 342, 249], ['sheep', 0.5682440996170044, 64, 207, 89, 226], ['sheep', 0.23128893971443176, 246, 185, 268, 204], ['sheep', 0.22551581263542175, 44, 203, 79, 236], ['sheep', 0.11029358208179474, 3, 199, 47, 250]]"
16,001959.jpg,"[['bird', 0.4911256432533264, 164, 63, 459, 294]]"
17,005505.jpg,"[['person', 0.2510805130004883, 58, 156, 137, 329], ['motorbike', 0.1272079050540924, 33, 55, 504, 330]]"
18,005651.jpg,"[['dog', 0.19974902272224426, 234, 93, 377, 260]]"
19,003909.jpg,"[['tvmonitor', 0.8758444786071777, 190, 97, 248, 151], ['tvmonitor', 0.6297651529312134, 330, 135, 429, 189], ['tvmonitor', 0.19423557817935944, 319, 121, 446, 217], ['tvmonitor', 0.14451716840267181, 21, 136, 82, 225]]"
20,000106.jpg,"[['bird', 0.7101601958274841, 177, 101, 359, 256]]"
21,001222.jpg,"[['person', 0.4859348237514496, 1, 194, 50, 275], ['car', 0.4128667712211609, 76, 190, 475, 324], ['car', 0.31063276529312134, 114, 159, 225, 199]]"
22,000361.jpg,"[['car', 0.4751666486263275, 224, 191, 283, 223], ['car', 0.47308608889579773, 474, 118, 501, 144]]"
23,002250.jpg,"[['person', 0.6072039604187012, 258, 175, 312, 282], ['person', 0.3999185860157013, 253, 159, 297, 244], ['person', 0.34944623708724976, 68, 117, 334, 502], ['person', 0.2376069873571396, 289, 163, 378, 371], ['person', 0.23069363832473755, 277, 160, 388, 514], ['pottedplant', 0.17887581884860992, -2, 331, 34, 493], ['person', 0.1451580673456192, 225, 164, 298, 281], ['person', 0.1312359720468521, 268, 165, 342, 357]]"
24,004417.jpg,"[['bicycle', 0.5362292528152466, 133, 216, 192, 313], ['person', 0.3020186722278595, 311, 80, 326, 146], ['bicycle', 0.23267966508865356, 198, 119, 238, 173]]"
25,001183.jpg,"[['person', 0.7597079277038574, 224, 104, 291, 230], ['horse', 0.2688918709754944, 131, 129, 350, 365], ['horse', 0.11083223670721054, 75, 148, 189, 299]]"
26,000418.jpg,"[['aeroplane', 0.43597546219825745, 53, 50, 470, 350], ['person', 0.282748818397522, 38, 244, 61, 281]]"
27,000841.jpg,"[['sofa', 0.4548264145851135, 11, 157, 475, 360]]"
28,001871.jpg,"[['tvmonitor', 0.5192268490791321, 85, 10, 322, 293], ['person', 0.24721987545490265, 182, 293, 378, 517], ['tvmonitor', 0.2441050261259079, 107, 46, 197, 224], ['pottedplant', 0.1428118497133255, 18, 163, 60, 321]]"
29,000421.jpg,"[['person', 0.7024964094161987, 309, 19, 508, 382], ['tvmonitor', 0.46869680285453796, 27, 38, 210, 244]]"
30,003978.jpg,"[['horse', 0.6190335750579834, 43, 61, 411, 407], ['person', 0.5540695786476135, 190, 32, 325, 229]]"
31,009951.jpg,"[['person', 0.75119549036026, 361, 192, 394, 229], ['person', 0.578430712223053, 431, 192, 464, 223], ['person', 0.3100394308567047, 378, 190, 426, 228], ['person', 0.30216339230537415, 324, 190, 351, 229], ['person', 0.1452130228281021, 318, 195, 354, 242], ['person', 0.14074233174324036, 370, 199, 433, 242]]"
32,003172.jpg,"[['person', 0.37350592017173767, 309, 28, 438, 326], ['bottle', 0.27717167139053345, 169, 103, 213, 172], ['person', 0.23928163945674896, 120, 78, 274, 326], ['bottle', 0.22084328532218933, 172, 91, 219, 216], ['person', 0.14149209856987, 161, 44, 373, 312], ['person', 0.10208272933959961, 21, 123, 160, 323]]"
33,001912.jpg,"[['aeroplane', 0.45174965262413025, 3, 37, 493, 261]]"
34,003368.jpg,"[['person', 0.5336253046989441, 205, 4, 480, 325], ['person', 0.4386424720287323, 4, 14, 248, 332], ['person', 0.13387075066566467, -20, 69, 55, 286], ['person', 0.10937695950269699, 442, 150, 511, 300]]"
35,009065.jpg,"[['motorbike', 0.45466864109039307, 11, 80, 469, 328], ['chair', 0.3119361698627472, 125, -16, 199, 53]]"
36,003602.jpg,"[['person', 0.6519806385040283, 262, 25, 495, 342], ['person', 0.4195743501186371, -11, 45, 184, 340], ['person', 0.32613489031791687, 122, 39, 345, 336]]"
37,007686.jpg,"[['aeroplane', 0.0, 0, 0, 0, 0]]"
38,002993.jpg,"[['car', 0.5590596199035645, 200, 217, 339, 299], ['car', 0.21508604288101196, 5, 0, 54, 26], ['person', 0.16202013194561005, 171, 0, 210, 38]]"
39,005196.jpg,"[['person', 0.6400147676467896, 252, 34, 495, 380], ['cat', 0.5968469381332397, 4, 152, 183, 305], ['person', 0.16239725053310394, 83, 46, 307, 356], ['cat', 0.14110159873962402, 33, 125, 271, 331]]"
40,004043.jpg,"[['person', 0.6538270115852356, 351, 167, 421, 293], ['car', 0.6091439127922058, 143, 110, 393, 259]]"
41,006970.jpg,"[['car', 0.33805111050605774, 121, 292, 377, 392]]"
42,009934.jpg,"[['bird', 0.4864228665828705, 153, 72, 343, 274], ['bird', 0.17579104006290436, 73, 31, 397, 283]]"
43,009475.jpg,"[['car', 0.6132974028587341, 3, 54, 492, 337]]"
44,006795.jpg,"[['chair', 0.34665852785110474, 303, 194, 458, 322], ['pottedplant', 0.12314929068088531, 13, 91, 174, 317]]"
45,005503.jpg,"[['bicycle', 0.4672751724720001, 53, 64, 482, 340]]"
46,008715.jpg,"[['car', 0.30875176191329956, 65, 135, 315, 240]]"
47,007231.jpg,"[['dog', 0.39254674315452576, 89, 84, 419, 252]]"
48,004829.jpg,"[['bird', 0.40540578961372375, 25, 19, 257, 497]]"
49,003490.jpg,"[['person', 0.29011133313179016, 179, 21, 299, 188], ['cat', 0.24603812396526337, 244, 227, 355, 334], ['chair', 0.16709111630916595, 12, -18, 89, 39], ['cat', 0.1536692976951599, 68, 91, 250, 343], ['chair', 0.10600579530000687, -9, -18, 53, 44]]"
50,003718.jpg,"[['car', 0.5179769396781921, 1, 4, 490, 326], ['car', 0.11311446130275726, 183, -2, 347, 36]]"
51,005798.jpg,"[['person', 0.6717513203620911, 44, 5, 129, 142], ['bicycle', 0.6071696877479553, 32, 64, 135, 146], ['person', 0.6027653217315674, 380, 6, 452, 150], ['motorbike', 0.3749746084213257, 230, 39, 390, 170], ['motorbike', 0.36590448021888733, 371, 64, 441, 166], ['motorbike', 0.2690016031265259, 146, 12, 311, 167], ['person', 0.1107608824968338, 163, -2, 246, 130]]"
52,002007.jpg,"[['aeroplane', 0.6815239191055298, 196, 119, 285, 224]]"
53,002663.jpg,"[['dog', 0.19866177439689636, 15, 26, 369, 326], ['chair', 0.13590623438358307, 314, 2, 500, 266]]"
54,004049.jpg,"[['person', 0.6120421886444092, 14, 5, 345, 489], ['person', 0.5407761931419373, 289, 7, 475, 486]]"
55,009559.jpg,"[['bicycle', 0.6239461898803711, 207, 148, 329, 258], ['person', 0.60980623960495, 257, 80, 306, 226], ['person', 0.5461894869804382, 313, 88, 375, 219], ['bicycle', 0.5187935829162598, 359, 158, 453, 252], ['person', 0.327724426984787, 236, 95, 320, 243], ['bicycle', 0.2519727051258087, 296, 132, 393, 264], ['chair', 0.11481630802154541, 3, 173, 46, 219]]"
56,007332.jpg,"[['person', 0.801112711429596, 153, 171, 255, 331], ['pottedplant', 0.6829137206077576, 73, 112, 154, 198], ['person', 0.5353518724441528, 271, 164, 357, 249], ['person', 0.45747020840644836, 10, 202, 227, 376], ['tvmonitor', 0.33096274733543396, -16, 114, 57, 214], ['person', 0.26117652654647827, 261, 139, 389, 257], ['person', 0.23834310472011566, 289, -20, 524, 258]]"
57,009003.jpg,"[['person', 0.36578264832496643, 1, 42, 327, 503]]"
58,007698.jpg,"[['aeroplane', 0.6169608235359192, 193, 143, 315, 211]]"
59,006051.jpg,"[['aeroplane', 0.8463294506072998, 256, 196, 291, 207], ['aeroplane', 0.6960213780403137, 312, 228, 358, 239], ['aeroplane', 0.5736792087554932, 438, 257, 475, 281], ['aeroplane', 0.5556655526161194, 171, 165, 201, 180], ['aeroplane', 0.30278638005256653, 372, 227, 446, 262], ['aeroplane', 0.23211519420146942, 347, 220, 406, 243], ['aeroplane', 0.1400044858455658, 408, 238, 482, 273], ['aeroplane', 0.1213805302977562, 366, 217, 444, 252], ['aeroplane', 0.10703543573617935, 449, 251, 487, 291]]"
60,006999.jpg,"[['cat', 0.5192596912384033, -13, 29, 404, 378]]"
61,001449.jpg,"[['train', 0.501300036907196, 13, 78, 158, 239], ['train', 0.14469774067401886, 312, 77, 437, 246], ['train', 0.11085249483585358, 144, 81, 328, 213]]"
62,009090.jpg,"[['cat', 0.36765241622924805, 200, 75, 354, 211], ['pottedplant', 0.27022653818130493, 160, 177, 232, 240]]"
63,003309.jpg,"[['bottle', 0.4821475148200989, 394, 240, 438, 338], ['person', 0.2967686951160431, 2, 120, 382, 340], ['person', 0.2161138355731964, 197, 138, 407, 322], ['person', 0.196034774184227, 16, 154, 177, 314], ['tvmonitor', 0.14443446695804596, 285, 78, 378, 199]]"
64,008210.jpg,"[['diningtable', 0.23830673098564148, 11, 244, 303, 368], ['chair', 0.23794586956501007, 253, 256, 335, 358]]"
65,005200.jpg,"[['cat', 0.1679908037185669, 112, 25, 421, 142]]"
66,009069.jpg,"[['person', 0.512847363948822, 3, -1, 58, 147], ['motorbike', 0.4053421914577484, -1, 17, 489, 373], ['person', 0.16996873915195465, 282, 3, 470, 188], ['person', 0.1281425654888153, 168, 11, 234, 61]]"
67,007917.jpg,"[['person', 0.6754365563392639, 8, 104, 236, 395], ['pottedplant', 0.595377504825592, 70, 4, 154, 57], ['person', 0.4619150161743164, 184, 81, 358, 383], ['person', 0.41803261637687683, 292, 79, 512, 387]]"
68,001458.jpg,"[['sofa', 0.3620525896549225, 92, 112, 389, 300]]"
69,001039.jpg,"[['tvmonitor', 0.7423824667930603, 171, 151, 217, 205], ['tvmonitor', 0.45057398080825806, 366, 151, 443, 248], ['tvmonitor', 0.44401466846466064, 209, 150, 275, 209], ['chair', 0.3731512725353241, 159, 216, 292, 364], ['tvmonitor', 0.22463275492191315, 289, 134, 379, 221]]"
70,009892.jpg,"[['person', 0.38050633668899536, 51, 4, 481, 328]]"
71,004547.jpg,"[['person', 0.5910735726356506, 278, 92, 383, 359], ['bicycle', 0.332940936088562, 258, 222, 375, 371]]"
72,005291.jpg,"[['person', 0.8293583989143372, 437, 54, 469, 118], ['person', 0.6688439846038818, 385, 57, 419, 119], ['person', 0.5519233345985413, 58, 16, 468, 368], ['person', 0.4901622235774994, 461, 44, 489, 124]]"
73,006875.jpg,"[['horse', 0.6195981502532959, 125, 105, 267, 429], ['person', 0.15703856945037842, 126, 64, 272, 272]]"
74,005280.jpg,"[['train', 0.7951421737670898, 176, 102, 413, 202]]"
75,002447.jpg,"[['dog', 0.16868817806243896, 187, 75, 491, 221], ['dog', 0.16449306905269623, 30, 87, 453, 359]]"
76,001031.jpg,"[['person', 0.5648290514945984, 80, 38, 244, 350], ['person', 0.35330235958099365, 49, 108, 110, 214], ['motorbike', 0.29276761412620544, 102, 187, 302, 422]]"
77,001757.jpg,"[['person', 0.7577441334724426, 118, 109, 181, 271], ['person', 0.47708433866500854, 164, 177, 294, 423], ['person', 0.44784629344940186, 247, 290, 374, 511], ['person', 0.40282711386680603, 132, 137, 221, 332], ['bottle', 0.3435104191303253, 300, 128, 320, 179], ['person', 0.29846808314323425, 157, 133, 245, 262], ['tvmonitor', 0.27638188004493713, 290, 0, 371, 123], ['bottle', 0.2505699396133423, 267, 129, 294, 179], ['person', 0.1696309745311737, 101, 147, 252, 377], ['diningtable', 0.11780089884996414, -47, 222, 295, 534], ['person', 0.10774639993906021, 12, 105, 79, 208]]"
78,001552.jpg,"[['car', 0.7372641563415527, 3, 27, 483, 381], ['car', 0.37199318408966064, -8, 86, 124, 213]]"
79,009381.jpg,"[['car', 0.5094241499900818, 20, -3, 497, 352], ['car', 0.3712068498134613, -7, -1, 205, 86], ['car', 0.15291699767112732, 13, 24, 165, 102]]"
80,002296.jpg,"[['person', 0.6406594514846802, 420, 158, 456, 261]]"
81,005525.jpg,"[['pottedplant', 0.36239930987358093, 164, 11, 442, 330], ['pottedplant', 0.24361445009708405, 401, 19, 495, 222], ['pottedplant', 0.12854033708572388, 302, 43, 451, 264]]"
82,002154.jpg,"[['person', 0.7219810485839844, 44, 71, 71, 98], ['car', 0.7135536074638367, 317, 96, 485, 167], ['car', 0.551395058631897, 447, 100, 492, 129], ['car', 0.46397116780281067, 16, 87, 377, 284], ['car', 0.37360891699790955, 37, 97, 211, 158], ['person', 0.20695938169956207, 53, 67, 94, 93], ['car', 0.18314142525196075, 328, 103, 432, 187], ['car', 0.1620544195175171, 2, 85, 122, 218], ['person', 0.14561137557029724, 143, 69, 169, 94]]"
83,008946.jpg,"[['person', 0.6985373497009277, 241, 138, 368, 325]]"
84,001003.jpg,"[['car', 0.46986842155456543, 96, 100, 370, 266]]"
85,003523.jpg,"[['car', 0.5818852782249451, 186, 144, 331, 258]]"
86,003158.jpg,"[['tvmonitor', 0.7364332675933838, 154, 139, 219, 189]]"
87,008077.jpg,"[['person', 0.3305491805076599, 225, 135, 438, 379], ['person', 0.2973633110523224, -12, 110, 132, 289], ['person', 0.28761568665504456, 368, 100, 520, 366], ['person', 0.16405683755874634, 34, 123, 445, 385]]"
88,007426.jpg,"[['bird', 0.5938958525657654, 112, 70, 490, 334]]"
89,009043.jpg,"[['person', 0.3106229305267334, 66, 131, 399, 314]]"
90,001589.jpg,"[['horse', 0.28723788261413574, 323, 94, 448, 311], ['cow', 0.11456914991140366, 50, 5, 249, 316]]"
91,009795.jpg,"[['tvmonitor', 0.451751708984375, 113, 147, 178, 241], ['pottedplant', 0.3419269621372223, 345, 167, 418, 336], ['person', 0.12067335844039917, 303, 186, 333, 269]]"
92,009522.jpg,"[['cat', 0.45113253593444824, 22, 34, 403, 297], ['bicycle', 0.17594538629055023, 330, 52, 390, 108]]"
93,002922.jpg,"[['bird', 0.5420132875442505, 274, 373, 308, 432]]"
94,001202.jpg,"[['dog', 0.4916812777519226, 210, 52, 410, 229], ['dog', 0.23460310697555542, 35, 132, 364, 280], ['dog', 0.17364941537380219, 5, 158, 256, 294]]"
95,004216.jpg,"[['car', 0.37495157122612, 315, 197, 378, 249]]"
96,008555.jpg,"[['bottle', 0.12122441083192825, 278, 386, 300, 447]]"
97,005184.jpg,"[['person', 0.4236226975917816, 237, 179, 352, 376], ['person', 0.34163081645965576, 470, 159, 506, 293], ['person', 0.2318156659603119, 295, 123, 357, 270], ['chair', 0.1850825846195221, 165, 189, 295, 371], ['chair', 0.10922341793775558, 286, 201, 394, 357], ['chair', 0.1031445786356926, 155, 239, 251, 373], ['pottedplant', 0.1024501770734787, 352, 178, 413, 273]]"
98,006280.jpg,"[['cat', 0.41493701934814453, 289, 97, 437, 242], ['bottle', 0.18585434556007385, 61, 76, 170, 186]]"
99,009563.jpg,"[['person', 0.5043404698371887, 209, 135, 286, 400], ['motorbike', 0.3070252537727356, 20, 142, 286, 468], ['person', 0.29386115074157715, 195, 145, 222, 183], ['person', 0.19010226428508759, 240, 142, 298, 383], ['person', 0.17806626856327057, 137, 147, 271, 394], ['person', 0.1335674375295639, 179, 149, 268, 331]]"
100,004804.jpg,"[['horse', 0.20104491710662842, 39, 102, 134, 259], ['horse', 0.13885539770126343, 33, 62, 248, 252], ['person', 0.13034950196743011, 138, 55, 230, 138]]"
101,001506.jpg,"[['person', 0.7794027924537659, 50, 119, 127, 334], ['person', 0.7256482243537903, 192, 61, 286, 353], ['person', 0.5156186819076538, 373, 108, 464, 332], ['person', 0.10663469135761261, 69, 126, 163, 324]]"
102,007061.jpg,"[['car', 0.5346325635910034, 3, 37, 490, 362]]"
103,009081.jpg,"[['car', 0.7389424443244934, 82, 61, 460, 325]]"
104,000176.jpg,"[['sheep', 0.6644402742385864, 53, 150, 146, 278], ['sheep', 0.3060818612575531, 12, 156, 106, 277], ['bird', 0.1828664392232895, 167, 150, 307, 303], ['sheep', 0.1766074299812317, 43, 150, 112, 251], ['sheep', 0.1454523801803589, 280, 211, 327, 282], ['sheep', 0.10945937782526016, 92, 152, 147, 243]]"
105,001897.jpg,"[['car', 0.6349384784698486, -6, 137, 34, 175], ['bus', 0.3866994082927704, 16, 86, 493, 226]]"
106,002231.jpg,"[['person', 0.22381412982940674, 0, 4, 310, 353], ['bottle', 0.15729670226573944, 298, 236, 434, 388], ['bottle', 0.11749503761529922, 298, 100, 471, 298]]"
107,006785.jpg,"[['car', 0.41569629311561584, 4, 36, 490, 326], ['car', 0.11574634909629822, 389, 105, 488, 172]]"
108,003533.jpg,"[['sheep', 0.5369228720664978, 64, 131, 129, 166], ['sheep', 0.15532566606998444, 80, 129, 116, 158], ['person', 0.12623079121112823, 461, 38, 499, 125]]"
109,008145.jpg,"[['boat', 0.20598752796649933, 236, 146, 296, 221], ['boat', 0.11452297121286392, 89, 157, 373, 304], ['boat', 0.10679810494184494, 202, 132, 328, 258]]"
110,008156.jpg,"[['pottedplant', 0.47861042618751526, 77, 124, 181, 369], ['pottedplant', 0.20630674064159393, 238, 96, 270, 221], ['chair', 0.196466863155365, 1, 4, 65, 120]]"
111,000584.jpg,"[['bicycle', 0.3793533742427826, 187, 78, 412, 318]]"
112,001122.jpg,"[['bird', 0.37938231229782104, 40, 10, 357, 499]]"
113,009889.jpg,"[['dog', 0.3666846752166748, 131, 155, 357, 263]]"
114,002961.jpg,"[['car', 0.6651723980903625, 4, 0, 488, 309]]"
115,004712.jpg,"[['person', 0.3782164454460144, 130, 96, 409, 396], ['pottedplant', 0.3764375150203705, 409, 53, 492, 233], ['pottedplant', 0.2904813885688782, 438, 141, 501, 267], ['pottedplant', 0.1751544028520584, 433, 36, 508, 205], ['tvmonitor', 0.16011175513267517, 198, 0, 338, 125], ['chair', 0.11926484107971191, 161, 123, 222, 228], ['bottle', 0.1015595868229866, 12, 148, 35, 198]]"
116,003584.jpg,"[['person', 0.7723219394683838, 102, 15, 197, 128], ['horse', 0.5580604672431946, 98, 37, 208, 189]]"
117,005142.jpg,"[['car', 0.4934292435646057, 9, 80, 462, 310]]"
118,003361.jpg,"[['sheep', 0.39786630868911743, 216, 254, 265, 284]]"
119,000188.jpg,"[['person', 0.783967137336731, 26, 114, 65, 206], ['car', 0.37386971712112427, 62, 148, 138, 201], ['bus', 0.3304508924484253, 43, 60, 512, 215], ['car', 0.12705564498901367, 411, 154, 492, 211]]"
120,005504.jpg,"[['train', 0.2831968367099762, -18, 165, 407, 278], ['train', 0.23173953592777252, 383, 190, 513, 315]]"
121,008937.jpg,"[['bird', 0.25707685947418213, 217, 74, 298, 273], ['pottedplant', 0.24211576581001282, 372, 26, 512, 294], ['pottedplant', 0.2216985821723938, -7, 43, 177, 309], ['pottedplant', 0.19513249397277832, 0, 95, 113, 312]]"
122,007406.jpg,"[['pottedplant', 0.7008935213088989, 93, 306, 132, 365], ['chair', 0.6929705142974854, 391, 276, 455, 351], ['person', 0.43584057688713074, 147, 287, 183, 375], ['chair', 0.3730792701244354, 198, 317, 239, 367], ['pottedplant', 0.37096118927001953, 77, 314, 118, 356], ['chair', 0.3325918912887573, 184, 307, 227, 377], ['chair', 0.14936229586601257, 456, 277, 502, 351], ['chair', 0.14780354499816895, 460, 302, 494, 356]]"
123,003402.jpg,"[['bird', 0.8004810810089111, 126, 167, 198, 252], ['bird', 0.736922562122345, 261, 185, 336, 237]]"
124,000573.jpg,"[['pottedplant', 0.3275660574436188, 53, 10, 420, 342], ['pottedplant', 0.18212436139583588, 176, 203, 366, 352]]"
125,007918.jpg,"[['bicycle', 0.5462214946746826, 4, 270, 71, 373], ['chair', 0.2850795090198517, 436, 204, 469, 273], ['train', 0.14081645011901855, 56, 26, 393, 348], ['chair', 0.14003518223762512, 424, 198, 456, 278], ['bicycle', 0.11240639537572861, 0, 239, 49, 350]]"
126,006477.jpg,"[['chair', 0.7296969294548035, 301, 246, 386, 440], ['person', 0.6354575753211975, 118, 205, 223, 459], ['chair', 0.4118264317512512, 9, 265, 73, 409]]"
127,000283.jpg,"[['bicycle', 0.8248791098594666, 84, 160, 186, 332], ['bicycle', 0.7287735939025879, 323, 251, 448, 446], ['person', 0.6424751877784729, 72, 30, 201, 286], ['person', 0.3323668837547302, 311, 111, 468, 429]]"
128,007115.jpg,"[['bicycle', 0.3292599320411682, 10, 45, 312, 517]]"
129,008650.jpg,"[['chair', 0.25747326016426086, 27, 53, 447, 392], ['chair', 0.12476406246423721, 285, 173, 476, 385]]"
130,000423.jpg,"[['person', 0.6252241730690002, 345, 98, 480, 314], ['person', 0.5922309160232544, 40, 80, 132, 275], ['person', 0.3194827735424042, 463, 68, 499, 173], ['person', 0.29710716009140015, 439, 81, 481, 159]]"
131,001794.jpg,"[['horse', 0.5748851299285889, 47, 58, 146, 319], ['person', 0.30962541699409485, 58, 30, 135, 192]]"
132,001271.jpg,"[['person', 0.44742846488952637, 172, -5, 218, 67], ['person', 0.36601027846336365, -4, 7, 42, 177], ['person', 0.3415045738220215, 406, 76, 431, 126], ['person', 0.3344893157482147, 324, -14, 411, 127], ['person', 0.2994600534439087, 28, 13, 69, 164], ['dog', 0.17313571274280548, 35, 58, 499, 385], ['person', 0.15396825969219208, 441, 8, 515, 130], ['person', 0.14506150782108307, 15, -4, 86, 150]]"
133,007707.jpg,"[['bird', 0.5168788433074951, 128, 194, 189, 286], ['bird', 0.5119941830635071, 181, 200, 292, 344], ['bird', 0.4227677285671234, 28, 158, 138, 287], ['person', 0.21382437646389008, 147, 165, 178, 220], ['bird', 0.18476103246212006, 147, 180, 184, 264]]"
134,003348.jpg,"[['car', 0.724432110786438, 162, 217, 429, 357], ['car', 0.5295983552932739, -4, 261, 98, 300], ['car', 0.5088487267494202, 49, 255, 146, 302], ['car', 0.20169830322265625, -1, 252, 60, 309], ['pottedplant', 0.15767359733581543, 442, 162, 496, 250], ['pottedplant', 0.13139410316944122, 430, 165, 487, 295]]"
135,007357.jpg,"[['boat', 0.5458700656890869, 226, 144, 359, 178], ['boat', 0.186502143740654, 168, 146, 204, 169], ['boat', 0.1678740233182907, 109, 147, 163, 178], ['boat', 0.1640232354402542, 118, 156, 156, 180], ['boat', 0.13010886311531067, 139, 151, 176, 173]]"
136,008897.jpg,"[['person', 0.539422333240509, 171, 59, 366, 348], ['pottedplant', 0.3148368299007416, 106, 28, 280, 144], ['chair', 0.2444145679473877, 319, 63, 440, 251]]"
137,007338.jpg,"[['person', 0.5327831506729126, 358, -2, 388, 57], ['person', 0.4186515808105469, 262, 42, 479, 331], ['person', 0.38235902786254883, 155, 17, 249, 100], ['person', 0.15074926614761353, 112, 21, 213, 95], ['person', 0.1475984901189804, 57, 29, 481, 336], ['person', 0.13803595304489136, 312, -1, 350, 61], ['person', 0.10455721616744995, 77, -16, 116, 53]]"
138,003840.jpg,"[['cow', 0.18445001542568207, 119, 23, 389, 493]]"
139,009257.jpg,"[['bottle', 0.45962223410606384, 104, -10, 227, 206], ['bottle', 0.3892514109611511, 285, 97, 331, 197], ['bottle', 0.18223942816257477, 239, 87, 292, 199], ['bird', 0.16311179101467133, 278, 12, 395, 118]]"
140,004180.jpg,"[['diningtable', 0.18263593316078186, 20, 102, 501, 393], ['chair', 0.10155008733272552, 386, 154, 508, 350]]"
141,003893.jpg,"[['car', 0.6849884390830994, 38, 134, 331, 269]]"
142,002629.jpg,"[['aeroplane', 0.247525155544281, 269, 174, 319, 200]]"
143,002752.jpg,"[['car', 0.6211244463920593, 232, 145, 309, 191], ['car', 0.6189858317375183, 301, 161, 348, 184], ['car', 0.38769012689590454, 208, 185, 336, 261], ['car', 0.2514314651489258, 265, 150, 344, 188]]"
144,007532.jpg,"[['person', 0.7026538252830505, 228, 21, 289, 121], ['person', 0.5567577481269836, -16, 12, 334, 373], ['person', 0.4528508484363556, 318, 28, 494, 379], ['person', 0.4211988151073456, 464, 61, 492, 133], ['person', 0.2945288121700287, 256, 50, 405, 344], ['person', 0.2559330463409424, 459, 53, 500, 183], ['person', 0.15985965728759766, 221, 66, 293, 166], ['person', 0.15542346239089966, 183, 55, 343, 345], ['person', 0.1477416455745697, 208, 47, 269, 141], ['person', 0.12508994340896606, -13, 16, 51, 171]]"
145,001558.jpg,"[['person', 0.5629310607910156, 4, 54, 308, 348], ['person', 0.3125244677066803, 243, 7, 504, 346]]"
146,005966.jpg,"[['person', 0.42447230219841003, 257, 84, 495, 384], ['person', 0.293282687664032, 78, 100, 299, 389]]"
147,009510.jpg,"[['bus', 0.4590270221233368, 84, 139, 381, 279]]"
148,000272.jpg,"[['tvmonitor', 0.5098889470100403, 261, 323, 301, 429], ['person', 0.5046509504318237, 29, 56, 242, 502]]"
149,004254.jpg,"[['car', 0.6987100839614868, 71, 114, 464, 283], ['car', 0.49206802248954773, -26, 109, 125, 203]]"
150,009864.jpg,"[['train', 0.26241636276245117, 133, 143, 333, 250], ['car', 0.22809691727161407, -16, 240, 130, 376], ['train', 0.16579872369766235, -3, 138, 109, 256], ['train', 0.15476101636886597, 43, 141, 206, 251], ['chair', 0.10228180140256882, 390, 186, 451, 255]]"
151,005575.jpg,"[['aeroplane', 0.5599209070205688, 25, 91, 494, 259]]"
